schl_nr,buchseite,feld,wert_parser,wert_qwen,wert_mistral,status_parser,einig,korrektur,beleg
00702,156,namensgruppe,Hofname,Hofname,"Gemeindestrasse, Str.-Gr.: Hofname",automatisch,eines,,
00703,34,eintrag,Am Fichtenbusch,Am Fichtenbusch,,automatisch,eines,,
00704,135,lemma,Groote-Ring,Grooten-Ring,Groothe-Ring,automatisch,eines,,
00704,135,stadium_1_name,Groote-Ring,Grooten-Ring,Groothe-Ring,automatisch,eines,,
00704,135,stadtteile,Freisenbruch,Freisenbruch,Friesenbruch,automatisch,eines,,
00705,177,eintrag,Im Pferdekamp,Im Pferdekamp,,automatisch,eines,,
00709,316,lemma,Storpplatz,Storppplatz,Storpplatz,automatisch,eines,,
00709,316,stadium_1_name,Storpplatz,Storppplatz,Storpplatz,automatisch,eines,,
00712,183,stadium_2,,,"(urspr., kein Datum) John Winston Lennon",automatisch,eines,,
00715,155,eintrag,Helmut-Werner-Weg,Helmut-Werner-Weg,,automatisch,eines,,
00716,180,eintrag,Inder Mergelskuhle,In der Mergelskuhle,,automatisch,eines,,
00716,180,lemma,Inder Mergelskuhle,In der Mergelskuhle,,automatisch,eines,,
00717,104,eintrag,Eichholzhof,Eichholzhof,,automatisch,eines,,
00718,303,stadium_2,2006-01-31 Siebrechtweg,"(urspr., kein Datum) Siebrechtweg",1986-04-04,unsicher,eines,,
00718,303,stadium_2_datum,2006-01-31,04. April 1986 aufgehoben (nicht normalisierbar),1986-04-04,unsicher,eines,,
00718,303,stadium_3,,2006-01-31 Siebrechtweg,"(urspr., kein Datum) Siebrechtweg",unsicher,eines,,
00721,101,stadtteile,Bredeney,Bredenei,Bredeney,automatisch,eines,,
00727,102,stadium_1_datum,"(urspr., kein Datum)","(urspr., kein Datum)",urspr.: Königgrätzer Straße (nicht normalisierbar),automatisch,eines,,
00727,102,stadtteile,Werden; Bredeney,Werden; Bredenei,Werden; Bredeney,automatisch,eines,,
00730,103,lemma,Ehrenaue,Ehrenau,Ehrenaue,automatisch,eines,,
00730,103,stadium_1_name,Ehrenaue,Ehrenau,Ehrenaue,automatisch,eines,,
00732,103,stadium_1_datum,1902-05-16,1902-05-16,"(urspr., kein Datum)",automatisch,eines,,
00732,103,stadium_1_urspruenglich,falsch,falsch,wahr,automatisch,eines,,
00736,104,eintrag,Eickelbecktal,Eickelbecktal,,automatisch,eines,,
00737,104,eintrag,Eickelkamp,Eickelkamp,,automatisch,eines,,
00738,104,eintrag,Eickenscheidter Fuhr,Eickenscheidter Fuhr,,automatisch,eines,,
00738,104,stadtteile,Südostviertel,Südstadtviertel,,automatisch,eines,,
00739,104,eintrag,Eickwinkelstraße,Eickwinkelstraße,,automatisch,eines,,
00740,104,eintrag,Eiergasse,Eiergasse,,automatisch,eines,,
00741,104,eintrag,Eigene Scholle,Eigene Scholle,,automatisch,eines,,
00742,104,eintrag,Eigene Tat,Eigene Tat,,automatisch,eines,,
00743,104,eintrag,Eigenstraße,Eigenstraße,,automatisch,eines,,
00743,104,stadtteile,Überruhr-Hinsel,Ürruhr-Hinsel,,automatisch,eines,,
00744,104,eintrag,Eiland,Eiland,,automatisch,eines,,
00745,104,eintrag,Einbleckstraße,Einbleckstraße,,unsicher,eines,,
00746,104,eintrag,Einigkeitsstraße,Einigkeitstraße,,automatisch,eines,,
00746,104,lemma,Einigkeitsstraße,Einigkeitstraße,,automatisch,eines,,
00746,104,stadtteile,Rüttenscheid; Bredeney,Rüttenscheid; Bredenei,,automatisch,eines,,
00747,105,eintrag,Eintrachtstraße,Eintrachtstraße,,automatisch,eines,,
00748,105,eintrag,Eisenbahnstraße,Eisenbahnstraße,,automatisch,eines,,
00751,105,stadium_2,1887-06-10 Feldstraße,1887-06-10 Feldstraße,1915-07-09 Eiserne Hand (Verl.),automatisch,eines,,
00752,105,stadium_3_datum,1933-05-08,1933-05-08,1945-06-18,automatisch,eines,,
00752,105,stadium_3_name,Georgsstraße (Umb.),Georgsstraße (Umb.),Georgstraße (Umb.),automatisch,eines,,
00752,105,stadium_4,1945-06-18 Elbestraße (Umb.),1945-06-18 Elbestraße (Umb.),,automatisch,eines,,
00754,105,lemma,Eleonorastraße,Eleonorastrasse,Eleonostraße,automatisch,eines,,
00754,105,stadium_1_name,Elonorastraße,Elonorastraße,Eleonostraße,automatisch,eines,,
00756,106,stadium_1_datum,1932-10-03,*03. Oktober 1932 (nicht normalisierbar),1932-10-03,automatisch,eines,,
00759,106,verweis_auf,Elisabethstraße,Elisabethstraße,,automatisch,eines,,
00764,106,lemma,Ellingradeweg,Ellingradeweg,Ellingraderweg,automatisch,eines,,
00765,107,lemma,Elsa-Brändström-Platz,Elsa-Brändström-Platz,Elsa-Brä̈ndström-Platz,automatisch,eines,,
00765,107,namensgruppe,"Person, Frau, Schwedin, Philanthropin, Platz","Person, Frau, Schwedin, Philanthropin, Platz","Person, Frau, Schwedin, Philanthropin",automatisch,eines,,
00765,107,stadium_2_datum,1927-02-27,1927-02-27,1933-05-08,automatisch,eines,,
00765,107,stadium_2_name,Vedderstraße,Vedderstraße,Elsa-Brä̈ndström-Platz,automatisch,eines,,
00765,107,stadium_3,1933-05-08 Elsa-Brändström-Platz,1933-05-08 Elsa-Brändström-Platz,,automatisch,eines,,
00765,107,verweis_auf,Elsa-Brändström-Straße,Elsa-Brändström-Straße,,automatisch,eines,,
00766,107,lemma,Elsa-Brändström-Straße,Elsa-Brändström-Straße,Elsa-Brä̈ndström-Straße,automatisch,eines,,
00766,107,stadium_2_name,Elsa-Brändströmstraße,Elsa-Brändströmstraße,Elsa-Brä̈ndströmstraße,automatisch,eines,,
00769,107,lemma,Eltingplatz,Eltingplatz,Eltingstraße,automatisch,eines,,
00769,107,namensgruppe,"Person, Mann, Deutscher, Industrieller, Essener Geschichte und Örtlichkeit, Platz","Person, Mann, Deutscher, Industrieller, Essener Geschichte und Örtlichkeit, Platz","Person, Mann, Deutscher, Industrieller, Essener Geschichte und Örtlichkeit",automatisch,eines,,
00769,107,stadium_1,1895-11-15 Hermannplatz,1895-11-15 Hermannplatz,1895-11-15 Hermannplatz,automatisch,eines,,
00769,107,stadium_2,1937-11-20 Eltingplatz,1937-11-20 Eltingplatz,1887-06-10 Hermannstraße,automatisch,eines,,
00769,107,verweis_auf,Eltingstraße,Eltingstraße,,automatisch,eines,,
00771,107,stadtteile,Bredeney,Bredenei,Bredeney,automatisch,eines,,
00775,108,stadium_2_datum,1896-02-13,1896-02-13,"(urspr., kein Datum)",unsicher,eines,,
00775,108,stadium_2_urspruenglich,falsch,falsch,wahr,unsicher,eines,,
00775,108,stadium_3,1933-11-27 Emscherstraße (Verl.),1933-11-27 Emscherstraße (Verl.),,unsicher,eines,,
00776,108,lemma,Endemannhöhe,Endemannhöhe,Endemannshöhe,automatisch,eines,,
00776,108,stadium_1_name,Endemannhöhe,Endemannhöhe,Endemannshöhe,automatisch,eines,,
00778,108,namensgruppe,"Person, Mann, Deutscher, Geistlicher, Männlicher Vorname, Essener Geschichte und Örtlichkeit","Person, Mann, Deutscher, Geistlicher, Männlicher Vorname, Essener Geschichte und Örtlichkeit","Person, Mann, Deutscher, Geistlicher, Männlicher Vorname",automatisch,eines,,
00781,109,lemma,Engelssiepen,Engelssiepen,Engelsiepen,automatisch,eines,,
00781,109,stadium_1_name,Marienberg,Marienberg,Engelsiepen,automatisch,eines,,
00781,109,stadium_2_name,Engelssiepen,Engelssiepen,Engelsiepen,automatisch,eines,,
00783,109,stadium_1_name,Borgerstraße,Borgerstraße,Burgerstraße,automatisch,eines,,
00789,109,stadium_1,1881 B-Straße,1881 B-Straße,1937-11-20 Erinweg,automatisch,eines,,
00791,110,eintrag,Erlenkampsweg,Erlenkampsweg,,automatisch,eines,,
00792,110,eintrag,Ernastraße,Ernastraße,,automatisch,eines,,
00793,110,eintrag,Ernestinenstraße,Ernestinenstraße,,automatisch,eines,,
00794,110,eintrag,Ernststraße,Ernststraße,,automatisch,eines,,
00795,110,eintrag,Erntedankweg,Erntedankweg,,automatisch,eines,,
00797,110,eintrag,Eschenburg,Eschenburg,,automatisch,eines,,
00798,110,eintrag,Eschenstraße,Eschenstraße,,automatisch,eines,,
00800,111,eintrag,Esmarchstraße,Esmarchstraße,,automatisch,eines,,
00803,111,lemma,Stadtteilbibliothek 1930 Esternhovede,Esternhovede,Esternhove,automatisch,eines,,
00803,111,stadium_2_name,Esternhovede,Esternhovede,Esternhove,automatisch,eines,,
00804,111,eintrag,Eststraße,Eststraße,,automatisch,eines,,
00805,111,eintrag,Etterbach,Etterbach,,automatisch,eines,,
00809,104,eintrag,Eifelhang,Eifelhang,,automatisch,eines,,
00809,104,stadtteile,Bredeney,Bredenei,,automatisch,eines,,
00810,110,eintrag,Ernst-Tengelmann-Ring,Ernst-Tengelmann-Ring,,automatisch,eines,,
00811,102,lemma,Eggebrechthang,Eggebrechthang,Eggebrechtang,automatisch,eines,,
00811,102,stadium_1_name,Eggebrechthang,Eggebrechthang,Eggebrechtang,automatisch,eines,,
00813,109,lemma,Erdpohlweg,Erdpohlweg,Erdpolweg,automatisch,eines,,
00813,109,namensgruppe,Kotten,Kotten,"Kotten, Str.-Gr.: Kotten",automatisch,eines,,
00813,109,stadium_1_name,Erdpohlweg,Erdpohlweg,Erdpolweg,automatisch,eines,,
00815,104,eintrag,Eilpeweg,Eilpeweg,,automatisch,eines,,
00815,104,stadtteile,Überruhr-Holthausen,Ürruhr-Holthausen,,automatisch,eines,,
00816,110,eintrag,Eskensfeld,Eskensfeld,,automatisch,eines,,
00817,110,eintrag,Eskenshof,Eskenshof,,unsicher,eines,,
00819,110,eintrag,Ernst-Barlach-Straße,Ernst-Barlach-Straße,,automatisch,eines,,
00820,277,namensgruppe,"Person, Mann, Deutscher, Ausschußvorsitzender","Person, Mann, Deutscher, Ausschussvorsitzender","Person, Mann, Deutscher, Ausschußvorsitzender",automatisch,eines,,
00822,39,eintrag,Am Kunstschacht,Am Kunstschaft,,automatisch,eines,,
00822,39,lemma,Am Kunstschacht,Am Kunstschaft,,automatisch,eines,,
00822,39,stadium_1_name,Am Kunstschacht,Am Kunstschaft,,automatisch,eines,,
00823,58,eintrag,Auf der Ruhrhöhe,Auf der Ruhrhöhe,,automatisch,eines,,
00825,92,eintrag,Deichmannweg,Deichmannweg,,automatisch,eines,,
00826,154,lemma,Helgaweg,Helgaweg,Helweg,automatisch,eines,,
00826,154,stadium_1,2007-04-10 Helgaweg,2007-04-10 Helgaweg,2007-04-10 Helgaweg,automatisch,eines,,
00828,68,stadium_3,,,1913-09-26 Berthold Beitz,geprueft,eines,,
00828,68,stadtteile,Nordviertel; Westviertel; Altenessen-Süd,Nordviertel; Westviertel; Altenessen-Süd,Nordviertel; Westviertel; Altensen,geprueft,eines,,
00833,32,eintrag,Am Blambeckpark,Am Blambeckpark,,automatisch,eines,,
00838,102,namensgruppe,"Person, Mann, Deutscher, Architekt, Platz","Person, Mann, Deutscher, Architekt, Platz","Person, Mann, Deutscher, Architekt",automatisch,eines,,
00838,102,stadium_1_name,Edmund-Körner Platz,Edmund-Körner Platz,Edmund-Körner-Platz,automatisch,eines,,
00841,112,stadium_1_name,Ludgeristraße,Ludgeristraße,Ludgerstraße,geprueft,eines,,
00842,113,stadtteile,Altenessen-Nord,Altenessen-Nord,Altessen-Nord,automatisch,eines,,
00843,113,stadium_1_datum,"(urspr., kein Datum)","(urspr., kein Datum)",urspr.: Theodorstraße (nicht normalisierbar),automatisch,eines,,
00843,113,stadium_1_name,Theodorstraße,Theodorstraße,Falkstraße,automatisch,eines,,
00849,113,eintrag,Feilenstraße,Feilenstraße,,automatisch,eines,,
00851,113,verweis_auf,Luegstraße,Luegstraße,,automatisch,eines,,
00852,113,stadtteile,Altenessen-Süd,Altenessen-Süd,Altensessen-Süd,automatisch,eines,,
00861,114,stadium_1,1895-01-04 Fischerstraße,1895-01-04 Fischerstraße,1937 Dietrich-Eckart-Siedlung,automatisch,eines,,
00861,114,stadium_2,,,1895-01-04 Fischerstraße,automatisch,eines,,
00861,114,stadium_3,,,1945-03-03 Icktener Siedlung (tlw.),automatisch,eines,,
00861,114,stadium_4,,,1952-09-05 Am Jommershönschen,automatisch,eines,,
00864,114,namensgruppe,"Essener Geschichte und Örtlichkeit, Platz","Essener Geschichte und Örtlichkeit, Platz",Essener Geschichte und Örtlichkeit,automatisch,eines,,
00864,114,verweis_auf,Markt,Markt,,automatisch,eines,,
00865,114,verweis_auf,Flakering,Flakering,,automatisch,eines,,
00867,115,stadium_1,1900 Funkestraße,1900 Funkestraße,1913-05-30 Flashoffstraße,automatisch,eines,,
00869,115,namensgruppe,Gemeinheit,Gemeinschaft,Gemeinheit,automatisch,eines,,
00870,115,stadtteile,Bredeney,Bredeneey,Bredeney,automatisch,eines,,
00871,115,namensgruppe,Flur-name,Flurname,Flur-name,automatisch,eines,,
00875,116,stadium_2_name,Katstraße,Katstraße,Kastraße,automatisch,eines,,
00876,116,stadium_2_name,Kurtstraße,Kurtstraße,Kurstraße,automatisch,eines,,
00882,116,namensgruppe,Lagebezeichnung,Lagebezeichnung,,automatisch,eines,,
00882,116,strassenklasse,Gemeindestraße,Gemeindestraße,Lagebezeichnung,automatisch,eines,,
00884,117,namensgruppe,Kotten,Kotten,"Kotten, urspr.: Hochstraße",automatisch,eines,,
00884,117,stadium_1,"(urspr., kein Datum) Hochstraße","(urspr., kein Datum) Hochstraße",1934-11-29 Dietwartstraße,automatisch,eines,,
00884,117,stadtteile,Schonnebeck,Schonnebeck,Schönebeck,automatisch,eines,,
00886,117,stadium_2_name,Hochstraße (tlw.),Hochstraße (tlw.),Hochstraße,automatisch,eines,,
00888,117,namensgruppe,Stadt und Ort,Stadt und Ort,"Stadt und Ort, 06. August 1907: Rellinghauser Straße",geprueft,eines,,
00888,117,stadium_2,1907-08-06 Rellinghauser Straße,1907-08-06 Rellinghauser Straße,1910-09-16 Frankenstraße,geprueft,eines,,
00888,117,stadtteile,Bredeney; Stadtwald; Rellinghausen,Bredeneey; Stadtwald; Rellinghausen,Bredeney; Rellinghausen,geprueft,eines,,
00889,117,eintrag,Frankfurter Straße,Frankfurter Straße,,automatisch,eines,,
00890,117,namensgruppe,Lagebezeichnung,Lagebezeichnung,"Lagebezeichnung, urspr.: Rosenstraße",automatisch,eines,,
00891,118,verweis_auf,Franziskanerstraße,Franziskanerstraße,,automatisch,eines,,
00892,118,stadium_4_name,Franziskanerstraße (Vert.),Franziskanerstraße (Verl.),Franziskanerstraße,automatisch,eines,,
00895,118,stadium_1_name,Torweg,Torweg,Franz-Xaver-Weg,automatisch,eines,,
00896,118,namensgruppe,"Person, Frau, Deutsche, Familie Krupp, Essener Geschichte und Örtlichkeit","Person, Frau, Deutsche, Familie Krupp, Essener Geschichte und Örtlichkeit","Person, Frau, Deutsche, Familie Krupp, Essenner Geschichte und Örtlichkeit",automatisch,eines,,
00896,118,stadium_4_name,Frau-Berta-Krupp-Straße (Verl.),Frau-Berta-Krupp-Straße (Verl.),Frau-Berta-Krupp-Straße,automatisch,eines,,
00897,118,stadtteile,Altenessen-Nord,Altenessen-Nord,Altessen-Nord,automatisch,eines,,
00898,118,namensgruppe,Flurname,Flurname,"Flurname, urspr.: Grünacker Weg",automatisch,eines,,
00899,119,eintrag,Freiheit,Freiheit,,automatisch,eines,,
00901,119,stadium_1_name,Im Ruhrtal,Im Ruhrtal,Freiherr-vom-Stein-Straße,automatisch,eines,,
00901,119,stadium_2,"(urspr., kein Datum) Werdener Straße (tlw.)","(urspr., kein Datum) Werdenener Straße (tlw.)",1933-05-08 Freiherr-vom-Stein-Straße,automatisch,eines,,
00901,119,stadium_2_name,Werdener Straße (tlw.),Werdenener Straße (tlw.),Freiherr-vom-Stein-Straße,automatisch,eines,,
00901,119,stadtteile,Bredeney; Heisingen,Bredeneey; Heisingen,Bredeney; Heisingen,automatisch,eines,,
00904,151,verweis_auf,Heinrich-Lersch-Platz,Heinrich-Lersch-Platz,,automatisch,eines,,
00906,119,stadium_2,,1340 opper Vryerstat,,automatisch,eines,,
00907,119,stadium_1,"(urspr., kein Datum) Adolfstraße","(urspr., kein Datum) Adolfstraße",1902-05-16 Freseniusstraße,automatisch,eines,,
00909,119,stadium_1,"(urspr., kein Datum) Bernuthstraße","(urspr., kein Datum) Bernuthstraße",1902-05-16 Freytagstraße,automatisch,eines,,
00915,120,stadium_3_name,Schlageterstraße (Umb.),Schlageterstraße (Umb.),Schlachterstraße (Umb.),automatisch,eines,,
00915,120,stadium_5_name,Friedrich-Ebert-Straße (Umb.),Friedrich-Ebert-Straße (Umb.),Friedrich-Ebert-Straße,automatisch,eines,,
00916,120,stadium_1_name,Begasstraße,Begasstraße,Begastraße,automatisch,eines,,
00918,120,stadium_1_name,Viktoriastraße,Viktoriastraße,Victoriastraße,automatisch,eines,,
00921,118,eintrag,Franz-Fischer-Weg,Franz-Fischer-Weg,,automatisch,eines,,
00923,121,verweis_auf,Frillendorfer Straße,Frillendorfer Straße,,automatisch,eines,,
00924,121,verweis_auf,Frillendorfer Straße,Frillendorfer Straße,,automatisch,eines,,
00926,121,lemma,Frintroper Knappen,Frinroper Knappen,Frintroper Knappen,automatisch,eines,,
00926,121,stadium_1_name,Frintroper Knappen,Frinroper Knappen,Frintroper Knappen,automatisch,eines,,
00926,121,stadtteile,Frintrop,Frinrop,Frintrop,automatisch,eines,,
00927,121,lemma,Frintroper Straße,Frinroper Straße,Frintroper Straße,automatisch,eines,,
00927,121,stadium_2_name,Frintroper Straße,Frinroper Straße,Frintroper Straße,automatisch,eines,,
00927,121,stadtteile,Frintrop; Bedingrade; Schönebeck; Borbeck-Mitte,Frinrop; Bedingrade; Schönebeck; Borbeck-Mitte,Frintrop; Bedingrade; Schönebeck; Borbeck-Mitte,automatisch,eines,,
00941,123,lemma,Fürstinstraße,Fürstinstraße,Fürstenbergstraße,unsicher,eines,,
00941,123,stadium_1_datum,1909-03-26,1909-03-26,1915-07-09,unsicher,eines,,
00941,123,stadium_1_name,Fürstinstraße,Fürstinstraße,Fürstenbergstraße,unsicher,eines,,
00943,123,stadium_3,2006-09-12 Fulerumer Straße (Verl.),2006-09-12 Fulerumer Straße (Verl.),,automatisch,eines,,
00944,123,namensgruppe,Flurname,Flurname,"Flurname, urspr.: Oststraße",automatisch,eines,,
00944,123,stadium_1,"(urspr., kein Datum) Oststraße","(urspr., kein Datum) Oststraße",1904-02-03 Fundlandstraße,automatisch,eines,,
00945,121,lemma,Frielingsdorfweg,Frielingdorfweg,Frielingsdorfweg,automatisch,eines,,
00945,121,stadium_1_name,Frielingsdorfweg,Frielingdorfweg,Frielingsdorfweg,automatisch,eines,,
00947,117,stadium_1_name,Ruhrstraße (tlw.),Ruhrstraße (tlw.),Ruhraue (tlw.),automatisch,eines,,
00949,119,verweis_auf,Zeche Eiberg,Zeche Eiberg,,automatisch,eines,,
00951,121,lemma,Frintroper Höhe,Frinroper Höhe,Frintroper Höhe,automatisch,eines,,
00951,121,stadium_1_name,Frintropper Höhe,Frinroper Höhe,Frintroper Höhe,automatisch,eines,,
00951,121,stadtteile,Frintrop,Frinrop,Frintrop,automatisch,eines,,
00952,121,lemma,Frintroper Markt,Frinroper Markt,Frintroper Markt,automatisch,eines,,
00952,121,stadium_2_name,Frintroper Markt,Frinroper Markt,Frintroper Markt,automatisch,eines,,
00952,121,stadtteile,Frintrop,Frinrop,Frintrop,automatisch,eines,,
00955,306,eintrag,Spechtweg,Spechtweg,,automatisch,eines,,
00960,220,namensgruppe,"Person, Mann, Deutscher, Unternehmer, Stadtverordneter","Person, Mann, Deutscher, Unternehmer, Stadtverordneter ,","Person, Mann, Deutscher, Unternehmer, Stadtverordneter",automatisch,eines,,
00962,110,eintrag,Ernst-Schmidt-Platz,Ernst-Schmidt-Platz,,automatisch,eines,,
00966,243,lemma,Museumsplatz,Museumsplatz,Eugen-Sulz-Straße,automatisch,eines,,
00966,243,namensgruppe,"Lagebezeichnung, Platz","Lagebezeichnung, Platz","Person, Mann, Deutscher, Bibliothekar",automatisch,eines,,
00966,243,stadium_1_datum,2009-12-29,2009-12-29,2003-07-01,automatisch,eines,,
00966,243,stadium_1_name,Museumsplatz,Museumsplatz,Eugen-Sulz-Straße,automatisch,eines,,
00966,243,stadtteile,Südviertel,Südviertel,Westviertel,automatisch,eines,,
00967,62,eintrag,Bargmannstraße,Bargmannstraße,,automatisch,eines,,
00968,151,stadtteile,Stadtkern,Stadt kern,Stadtkern,automatisch,eines,,
00969,361,eintrag,Zur Waldesquelle,Zur Waldesquelle,,automatisch,eines,,
00970,360,lemma,Zur Friedenseiche,Zur Friedenseiche,Zur Friedeneseiche,automatisch,eines,,
00970,360,stadium_1_name,Zur Friedenseiche,Zur Friedenseiche,Zur Friedeneseiche,automatisch,eines,,
00971,237,namensgruppe,"Person, Mann, Deutscher, Mediziner, Hochschullehrer, Forscher","Person, Mann, Deutscher, Mediziner, Hochschullehrer, Forscher","Person, Mann",automatisch,eines,,
00973,144,namensgruppe,Familienname,Familiennname,Familienname,automatisch,eines,,
00975,256,stadium_2,,,1935-12-24 Christoph Höttges,automatisch,eines,,
00976,95,lemma,Diether-Krebs-Platz,Diether-Krebs-Platz,Dieter-Krebs-Platz,automatisch,eines,,
00976,95,stadium_1_name,Diether-Krebs-Platz,Diether-Krebs-Platz,Dieter-Krebs-Platz,automatisch,eines,,
00980,132,stadium_2,,,"(urspr., kein Datum) Graevenkotten",automatisch,eines,,
00982,123,lemma,Gärtnerstraße,Gärtnerstraße,Gärtnereistraße,automatisch,eines,,
00982,123,stadium_1_name,Gärtnerstraße,Gärtnerstraße,Gärtnereistraße,automatisch,eines,,
00982,123,stadium_3_name,Gärtnerstraße (Verl.),Gärtnerstraße (Verl.),Gärtnereistraße,automatisch,eines,,
00988,123,lemma,Gartenstiege,Gartenstiege,Gartenstieg,automatisch,eines,,
00989,258,namensgruppe,"Essener Geschichte und Örtlichkeit, Hofname","Essener Geschichte und Örtlichkeit, Hofname",Hofname,automatisch,eines,,
00989,258,stadium_1,1896-08-14 Gartenstraße,1896-08-14 Gartenstraße,1937-11-20 Freiheit,automatisch,eines,,
00990,124,eintrag,Gasstraße,Gasstraße,,automatisch,eines,,
00991,124,eintrag,Gathergang,Gathergang,,automatisch,eines,,
00992,124,eintrag,Gattfeld,Gattfeld,,automatisch,eines,,
00993,124,eintrag,Gaußstraße,Gaußstraße,,automatisch,eines,,
00994,124,eintrag,Gebhardtstraße,Gebhardtstraße,,automatisch,eines,,
00996,124,lemma,Gedingeweg,Gedingeweg,Gedingweg,automatisch,eines,,
00996,124,stadium_3_name,Gedingeweg,Gedingeweg,Gedingweg,automatisch,eines,,
00996,124,stadium_4_name,Gedingeweg (Verl.),Gedingeweg (Verl.),Gedingweg,automatisch,eines,,
01001,125,namensgruppe,"Person, Mann, Deutscher, Physiker, Erfinder","Person, Mann, Deutscher, Physiker, Erfinder","Person, Mann, Deutscher, Physiker, Erfinder, urspr.: Klemensstraße",automatisch,eines,,
01002,125,namensgruppe,Bergbau,Bergbau,"Bergbau, etwa 1899",automatisch,eines,,
01002,125,stadium_2,,,1852-11-02 Geitlingstraße,automatisch,eines,,
01004,125,stadium_2,1892-03-29 Gelsenkirchener Straße,1892-03-29 Gelsenkirchener Straße,1892-03-29 Mittelstraße,automatisch,eines,,
01004,125,stadium_4_datum,1937-11-20,gemeinsame Bezeichnung am 20. November 1937 (nicht normalisierbar),1945-06-18,automatisch,eines,,
01004,125,strassenklasse,Kreisstraße; Landstraße,Kreisstraße; Landstraße,Kreisstraße und Landstraße,automatisch,eines,,
01005,125,verweis_auf,Gemarkenstraße,Gemarkenstraße,,automatisch,eines,,
01007,125,lemma,Gemperwiese,Gemperwiese,Gempenwiese,automatisch,eines,,
01007,125,stadium_2_name,Gemperwiese,Gemperwiese,Gempenwiese,automatisch,eines,,
01008,125,stadium_2,,,"(urspr., kein Datum) An der Straße lag z.Zt. der Benennung die Konsumgenossenschaft Essen",geprueft,eines,,
01009,125,stadtteile,Bredeney,Bredenei,Bredeney,automatisch,eines,,
01010,125,namensgruppe,Kirche und Kloster,Kirche und Kloster,"Kirche und Kloster, vor 1915",automatisch,eines,,
01013,126,lemma,Gerichtsstraße,Gerichtstraße,Gerichtsstraße,unsicher,eines,,
01013,126,stadium_1_name,Gerichtsstraße,Gerichtstraße,Gerichtsstraße,unsicher,eines,,
01015,127,stadium_1_datum,vor 1895,(nicht amtlich) (nicht normalisierbar),"(urspr., kein Datum)",geprueft,eines,,
01019,127,namensgruppe,Bauerschaft,Bauerschaft,,unsicher,eines,,
01019,127,stadium_3_name,Düppenberg (Umb.tiw.),Düppenberg (Umb.tlw.),Düppenberg (Umbtw.),unsicher,eines,,
01019,127,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße; Bauerschaft,unsicher,eines,,
01028,128,lemma,Giesebrechtstraße,Giesebrechtstraße,Giesbrechtstraße,automatisch,eines,,
01028,128,stadium_3_name,Giesebrechtstraße,Giesebrechtstraße,Giesbrechtstraße,automatisch,eines,,
01030,128,lemma,Gildehofstraße,Gildhofstraße,Gildehofstraße,automatisch,eines,,
01032,129,lemma,Gillhausenstraße,Gillhausenstraße,Gillhausensstraße,automatisch,eines,,
01032,129,stadium_1_name,Gillhausenstraße,Gillhausenstraße,Gillhausensstraße,automatisch,eines,,
01032,129,stadtteile,Bredeney,Bredenei,Bredeney,automatisch,eines,,
01037,130,stadium_1,"(urspr., kein Datum) Fräserstraße","(urspr., kein Datum) Fräserstraße",1903-11-27 Unionstraße,unsicher,eines,,
01037,130,stadtteile,Stadtkern; Nordviertel; Altenessen-Süd; Altenessen-Nord; Vogelheim; Karnap,Stadtkern; Nordviertel; Altenessen-Süd; Altenessen-Nord; Vogelheim; Karnap,Nordviertel; Altessen-Süd; Altenssen-Nord; Vogelheim; Karnap,unsicher,eines,,
01038,127,eintrag,Gerscheder Weiden,Gerscheder Weiden,,automatisch,eines,,
01043,130,stadium_1_name,Stinnesstraße,Stinnesstraße,Stinnessestraße,automatisch,eines,,
01046,130,namensgruppe,"Person, Mann, Deutscher, General, Kriegserinnerung","Person, Mann, Deutscher, General, Kriegserinnerung","Person, Mann, Deutscher, General, Kriegsinnenerung",automatisch,eines,,
01046,130,stadtteile,Altenessen-Süd; Nordviertel,Altenessen-Süd; Nordviertel,Altessen-Süd; Nordviertel,automatisch,eines,,
01047,130,verweis_auf,Reineke-Fuchs-Straße,Reineke-Fuchs-Straße,,geprueft,eines,,
01049,130,namensgruppe,"Person, Mann, Deutscher, General, Kriegserinnerung","Person, Mann, Deutscher, General, Kriegserinnerung","Person, Mann, Deutscher, General, Kriegsinnenerung",automatisch,eines,,
01050,131,eintrag,Gönterstraße,Gönterstraße,,automatisch,eines,,
01050,131,namensgruppe,Gemeinheit,Gemeindeheit,,automatisch,eines,,
01053,131,eintrag,Görtzpfad,Görtzpfad,,automatisch,eines,,
01054,131,stadium_1_name,Wilhelmstraße,Wilhelmstraße,Goethestraße,automatisch,eines,,
01055,131,stadium_2,,,"(urspr., kein Datum) Göttingen",automatisch,eines,,
01056,131,stadium_2,,,"(urspr., kein Datum) Goldammer",automatisch,eines,,
01057,131,stadium_2,,,"(urspr., kein Datum) Goldfinkstraße und Geitlingstraße",automatisch,eines,,
01058,131,stadium_1_name,Söllingstraße (tlw.),Söllingstraße (tlw),Söllingstraße (tlw.),automatisch,eines,,
01059,131,stadium_2,,,"(urspr., kein Datum) Sophus Goose",automatisch,eines,,
01060,132,stadium_2,,,1765-07-15 Johann Gottfried Wilhelm Waldthausen,automatisch,eines,,
